 [2023-08-22 21:19:50,479] Register - step 01: Navigate to 'Register' page
 [2023-08-23 19:32:22,680] Driver instance name = chromedriver: chrome on windows (cfe9c73f56e7b382110a271d094ee134)
 [2023-08-24 20:01:32,071] Register - step 01: Navigate to 'Register' page
 [2023-08-24 20:01:33,221] Register - step 02: enter to Firstname textbox with value is 'Cassie'
 [2023-08-24 20:01:33,328] Register - step 03: enter to lastName textbox with value is 'Jacobs'
 [2023-08-24 20:01:33,651] Register - step 04: enter to Email textbox with value is 'gladis.nitzsche@yahoo.com'
 [2023-08-24 20:01:33,785] Register - step 05: enter to Password textbox with value is 'P$FL!z9PDj'
 [2023-08-24 20:01:33,884] Register - step 06: enter to confirmPassword textbox with value is 'P$FL!z9PDj'
 [2023-08-24 20:01:33,972] Register - step 07: click to 'Register' Button
 [2023-08-24 20:01:34,702] Login - step 08: verify 'succes message' is displayed
 [2023-08-24 20:01:34,744]  -------------------------- PASSED -------------------------- 
 [2023-08-24 20:01:34,744] Register - step 09: click to 'Home Page' link
 [2023-08-24 20:01:35,296] Login - step 01: Navigate to 'Register' page
 [2023-08-24 20:01:36,186] Login - step 02: enter to Email textbox with value is 'gladis.nitzsche@yahoo.com'
 [2023-08-24 20:01:36,271] Login - step 03: enter to Password textbox with value is 'P$FL!z9PDj'
 [2023-08-24 20:01:36,353] Login - step 04: click to 'Login' button
 [2023-08-24 20:01:38,614] Login - step 05: verify 'My account link' is displayed
 [2023-08-24 20:01:38,667]  -------------------------- PASSED -------------------------- 
 [2023-08-24 20:01:38,667] Login - step 06: click to 'My account' link
 [2023-08-24 20:01:39,070] Login - step 07: verify 'customer info' page is displayed
 [2023-08-24 20:01:39,108]  -------------------------- PASSED -------------------------- 
 [2023-08-24 20:01:39,112] Myaccount - step 01: Navigate to 'My account' Page
 [2023-08-24 20:01:39,510] Myaccount - step 02: verify 'customer info' page is displayed
 [2023-08-24 20:01:39,548]  -------------------------- PASSED -------------------------- 
 [2023-08-24 20:01:39,548] Myaccount - step 03: verify 'Firt Name' value is correctly
 [2023-08-24 20:01:39,582]  -------------------------- PASSED -------------------------- 
 [2023-08-24 20:01:39,582] Myaccount - step 03: verify 'Last Name' value is correctly
 [2023-08-24 20:01:39,616]  -------------------------- PASSED -------------------------- 
 [2023-08-24 20:01:39,616] Myaccount - step 03: verify 'Email Name' value is correctly
 [2023-08-24 20:01:39,647]  -------------------------- PASSED -------------------------- 
 [2023-08-24 20:01:39,650] OS name = windows 11
 [2023-08-24 20:01:39,650] Driver instance name = chromedriver: chrome on windows (f019425017a3a175e1dd70d5bc3c0792)
 [2023-08-24 22:04:05,834] Register - step 01: Navigate to 'Register' page
 [2023-08-24 22:04:06,997] Register - step 02: enter to Firstname textbox with value is 'Carman'
 [2023-08-24 22:04:07,096] Register - step 03: enter to lastName textbox with value is 'Koelpin'
 [2023-08-24 22:04:07,415] Register - step 04: enter to Email textbox with value is 'wilson.nitzsche@hotmail.com'
 [2023-08-24 22:04:07,537] Register - step 05: enter to Password textbox with value is '&beBD$l4!n'
 [2023-08-24 22:04:07,625] Register - step 06: enter to confirmPassword textbox with value is '&beBD$l4!n'
 [2023-08-24 22:04:07,717] Register - step 07: click to 'Register' Button
 [2023-08-24 22:04:08,619] Login - step 08: verify 'succes message' is displayed
 [2023-08-24 22:04:08,663]  -------------------------- PASSED -------------------------- 
 [2023-08-24 22:04:08,663] Register - step 09: click to 'Home Page' link
 [2023-08-24 22:04:09,364] Login - step 01: Navigate to 'Register' page
 [2023-08-24 22:04:09,752] Login - step 02: enter to Email textbox with value is 'wilson.nitzsche@hotmail.com'
 [2023-08-24 22:04:09,835] Login - step 03: enter to Password textbox with value is '&beBD$l4!n'
 [2023-08-24 22:04:09,915] Login - step 04: click to 'Login' button
 [2023-08-24 22:04:10,605] Login - step 05: verify 'My account link' is displayed
 [2023-08-24 22:04:10,654]  -------------------------- PASSED -------------------------- 
 [2023-08-24 22:04:10,654] Login - step 06: click to 'My account' link
 [2023-08-24 22:04:11,081] Login - step 07: verify 'customer info' page is displayed
 [2023-08-24 22:04:11,118]  -------------------------- PASSED -------------------------- 
 [2023-08-24 22:04:11,123] Myaccount - step 01: Navigate to 'My account' Page
 [2023-08-24 22:04:11,515] Myaccount - step 02: verify 'customer info' page is displayed
 [2023-08-24 22:04:11,548]  -------------------------- PASSED -------------------------- 
 [2023-08-24 22:04:11,548] Myaccount - step 03: verify 'Firt Name' value is correctly
 [2023-08-24 22:04:11,579]  -------------------------- PASSED -------------------------- 
 [2023-08-24 22:04:11,579] Myaccount - step 03: verify 'Last Name' value is correctly
 [2023-08-24 22:04:11,611]  -------------------------- PASSED -------------------------- 
 [2023-08-24 22:04:11,611] Myaccount - step 03: verify 'Email Name' value is correctly
 [2023-08-24 22:04:11,639]  -------------------------- PASSED -------------------------- 
 [2023-08-24 22:04:11,642] OS name = windows 11
 [2023-08-24 22:04:11,642] Driver instance name = chromedriver: chrome on windows (a04f7e2f484fdf381019750fc4ad8e40)
 [2023-09-12 20:05:45,770] Register - step 01: Navigate to 'Register' page
 [2023-09-12 20:05:47,383] Register - step 02: enter to Firstname textbox with value is 'Carey'
 [2023-09-12 20:05:47,603] Register - step 03: enter to lastName textbox with value is 'Adams'
 [2023-09-12 20:05:48,294] Register - step 04: enter to Email textbox with value is 'loreta.gerhold@hotmail.com'
 [2023-09-12 20:05:48,623] Register - step 05: enter to Password textbox with value is 'bM&HfcZ$1MB'
 [2023-09-12 20:05:48,846] Register - step 06: enter to confirmPassword textbox with value is 'bM&HfcZ$1MB'
 [2023-09-12 20:05:49,036] Register - step 07: click to 'Register' Button
 [2023-09-12 20:05:50,513] Login - step 08: verify 'succes message' is displayed
 [2023-09-12 20:05:50,570]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:05:50,570] Register - step 09: click to 'Home Page' link
 [2023-09-12 20:05:54,322] Login - step 01: Navigate to 'Register' page
 [2023-09-12 20:05:55,084] Login - step 02: enter to Email textbox with value is 'loreta.gerhold@hotmail.com'
 [2023-09-12 20:05:55,458] Login - step 03: enter to Password textbox with value is 'bM&HfcZ$1MB'
 [2023-09-12 20:05:55,598] Login - step 04: click to 'Login' button
 [2023-09-12 20:05:56,543] Login - step 05: verify 'My account link' is displayed
 [2023-09-12 20:05:56,615]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:05:56,812] Login - step 06: click to 'My account' link
 [2023-09-12 20:05:57,476] Login - step 07: verify 'customer info' page is displayed
 [2023-09-12 20:05:57,952]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:05:57,973] Myaccount - step 01: Navigate to 'My account' Page
 [2023-09-12 20:05:58,323] Register - step 01: Navigate to 'Register' page
 [2023-09-12 20:05:58,794] Myaccount - step 02: verify 'customer info' page is displayed
 [2023-09-12 20:05:58,851]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:05:58,852] Myaccount - step 03: verify 'Firt Name' value is correctly
 [2023-09-12 20:05:58,909]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:05:58,909] Myaccount - step 03: verify 'Last Name' value is correctly
 [2023-09-12 20:05:58,975]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:05:58,975] Myaccount - step 03: verify 'Email Name' value is correctly
 [2023-09-12 20:05:59,036]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:05:59,038] OS name = windows 11
 [2023-09-12 20:05:59,038] Driver instance name = chromedriver: chrome on windows (90ef284deecff255d8d11d0427de274f)
 [2023-09-12 20:05:59,766] Register - step 02: enter to Firstname textbox with value is 'Damien'
 [2023-09-12 20:05:59,954] Register - step 03: enter to lastName textbox with value is 'MacGyver'
 [2023-09-12 20:06:04,174] Login - step 01: Navigate to 'Register' page
 [2023-09-12 20:06:08,299] Myaccount - step 01: Navigate to 'My account' Page
 [2023-09-12 20:06:12,386] OS name = windows 11
 [2023-09-12 20:06:12,386] Driver instance name = chromedriver: chrome on windows (b371b56c631878795aec4aaecdb8996d)
 [2023-09-12 20:06:16,519] java.net.ConnectException: Failed to connect to localhost/0:0:0:0:0:0:0:1:8864
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'LINHLE', ip: '192.168.1.9', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.14'
Driver info: driver.version: RemoteWebDriver
 [2023-09-12 20:08:06,292] Register - step 01: Navigate to 'Register' page
 [2023-09-12 20:08:07,036] Register - step 02: enter to Firstname textbox with value is 'Whitney'
 [2023-09-12 20:08:07,185] Register - step 03: enter to lastName textbox with value is 'Funk'
 [2023-09-12 20:08:07,681] Register - step 04: enter to Email textbox with value is 'glory.goyette@hotmail.com'
 [2023-09-12 20:08:07,874] Register - step 05: enter to Password textbox with value is '1#AH%ethC'
 [2023-09-12 20:08:08,001] Register - step 06: enter to confirmPassword textbox with value is '1#AH%ethC'
 [2023-09-12 20:08:08,122] Register - step 07: click to 'Register' Button
 [2023-09-12 20:08:08,890] Login - step 08: verify 'succes message' is displayed
 [2023-09-12 20:08:08,951]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:08:08,951] Register - step 09: click to 'Home Page' link
 [2023-09-12 20:08:09,484] Login - step 01: Navigate to 'Register' page
 [2023-09-12 20:08:09,928] Login - step 02: enter to Email textbox with value is 'glory.goyette@hotmail.com'
 [2023-09-12 20:08:10,050] Login - step 03: enter to Password textbox with value is '1#AH%ethC'
 [2023-09-12 20:08:10,183] Login - step 04: click to 'Login' button
 [2023-09-12 20:08:10,967] Login - step 05: verify 'My account link' is displayed
 [2023-09-12 20:08:11,028]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:08:11,028] Login - step 06: click to 'My account' link
 [2023-09-12 20:08:11,594] Login - step 07: verify 'customer info' page is displayed
 [2023-09-12 20:08:11,677]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:08:11,681] Myaccount - step 01: Navigate to 'My account' Page
 [2023-09-12 20:08:12,090] Myaccount - step 02: verify 'customer info' page is displayed
 [2023-09-12 20:08:12,158]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:08:12,158] Myaccount - step 03: verify 'Firt Name' value is correctly
 [2023-09-12 20:08:12,218]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:08:12,218] Myaccount - step 03: verify 'Last Name' value is correctly
 [2023-09-12 20:08:12,280]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:08:12,280] Myaccount - step 03: verify 'Email Name' value is correctly
 [2023-09-12 20:08:12,342]  -------------------------- PASSED -------------------------- 
 [2023-09-12 20:08:12,344] OS name = windows 11
 [2023-09-12 20:08:12,344] Driver instance name = chromedriver: chrome on windows (f7a8c646fd8ec2d3ac3bc01a11ba86ab)
